problem,round,controller_dir,private_requests,observed_result,simulator_result,case_code,practice_run_no,source_count,omni_count,directional_count,cleared,virtual_time_s,average_time_s,certificate_complete,timestamp_delta_s
3,1,q3_practice_20260912_01,data/controller/q3/round_01/private_requests.jsonl,data/controller/q3/round_01/observed_result.json,data/simulator_results/practice-p3-3349950054818020053-BUWJ-NM9Q-E3FP-KBNQ.result.json,BUWJ-NM9Q-E3FP-KBNQ,3349950054818020053,16,16,0,16,3501.148984,218.821812,true,0.0453534
3,2,q3_practice_20260912_02,data/controller/q3/round_02/private_requests.jsonl,data/controller/q3/round_02/observed_result.json,data/simulator_results/practice-p3-7676077248861405373-XSTE-PSFN-9F8U-8P2D.result.json,XSTE-PSFN-9F8U-8P2D,7676077248861405373,12,12,0,12,2929.340188,244.111682,true,0.0496967
3,3,q3_practice_20260912_03,data/controller/q3/round_03/private_requests.jsonl,data/controller/q3/round_03/observed_result.json,data/simulator_results/practice-p3-2071173284715469153-WQXS-VYHK-4B2N-4NWU.result.json,WQXS-VYHK-4B2N-4NWU,2071173284715469153,13,13,0,13,3230.832924,248.525610,true,0.0462420
3,4,q3_practice_20260912_04,data/controller/q3/round_04/private_requests.jsonl,data/controller/q3/round_04/observed_result.json,data/simulator_results/practice-p3-5232102300600009848-3YB4-CC66-WNAD-XVQ9.result.json,3YB4-CC66-WNAD-XVQ9,5232102300600009848,15,15,0,15,3301.254978,220.083665,true,0.0371745
3,5,q3_practice_20260912_05,data/controller/q3/round_05/private_requests.jsonl,data/controller/q3/round_05/observed_result.json,data/simulator_results/practice-p3-1792001531297228478-AKGC-XRSQ-KQ42-DE4U.result.json,AKGC-XRSQ-KQ42-DE4U,1792001531297228478,14,14,0,14,2867.244144,204.803153,true,0.0394625
3,6,q3_practice_20260912_06,data/controller/q3/round_06/private_requests.jsonl,data/controller/q3/round_06/observed_result.json,data/simulator_results/practice-p3-6099312020903226064-F22D-5NT7-9XRW-7DY6.result.json,F22D-5NT7-9XRW-7DY6,6099312020903226064,13,13,0,13,3119.850291,239.988484,true,0.0481009
3,7,q3_practice_20260912_07,data/controller/q3/round_07/private_requests.jsonl,data/controller/q3/round_07/observed_result.json,data/simulator_results/practice-p3-8062991651294343284-FDS3-ZJ7Q-V3E9-2QDN.result.json,FDS3-ZJ7Q-V3E9-2QDN,8062991651294343284,11,11,0,11,3334.993246,303.181204,true,0.0480685
3,8,q3_practice_20260912_08,data/controller/q3/round_08/private_requests.jsonl,data/controller/q3/round_08/observed_result.json,data/simulator_results/practice-p3-263953402046542304-XMZP-GEJC-W9KA-UTWY.result.json,XMZP-GEJC-W9KA-UTWY,263953402046542304,14,14,0,14,3452.125786,246.580413,true,0.0399290
3,9,q3_practice_20260912_09,data/controller/q3/round_09/private_requests.jsonl,data/controller/q3/round_09/observed_result.json,data/simulator_results/practice-p3-1488554021349292333-8V3W-N88T-ED46-PXCE.result.json,8V3W-N88T-ED46-PXCE,1488554021349292333,15,15,0,15,3294.327456,219.621830,true,0.0484959
3,10,q3_practice_20260912_10,data/controller/q3/round_10/private_requests.jsonl,data/controller/q3/round_10/observed_result.json,data/simulator_results/practice-p3-1798405950189116048-HGVD-7ZTC-XNGP-2JRT.result.json,HGVD-7ZTC-XNGP-2JRT,1798405950189116048,16,16,0,16,3748.236492,234.264781,true,0.0373070
